پرسش	پاسخ کاربر	معیار تحت تأثیر	اثر قاعده	تفسیر
مساحت کل سایت استقرار چقدر است؟	کوچک (کمتر از ۱ هکتار)	برد انتقال؛ بودجه پیوند	−1؛ −1	سایت کوچک است؛ پوشش وسیع و بودجه پیوند بالا در اولویت طراحی شبکه نیست.
مساحت کل سایت استقرار چقدر است؟	متوسط (۱ تا ۱۰ هکتار)	—	—	سایت با مقیاس متوسط است و این پاسخ تغییری در وزن معیارها ایجاد نمی‌کند.
مساحت کل سایت استقرار چقدر است؟	بزرگ (بیش از ۱۰ هکتار)	برد انتقال؛ بودجه پیوند	+1؛ +1	سایت بزرگ است؛ برد انتقال و بودجه پیوند اهمیت بیشتری می‌یابند.
شکل و توپوگرافی زمین محل استقرار چگونه است؟	مسطح	بودجه پیوند	−1	زمین مسطح تلفات سیگنال کمتری دارد؛ نیاز به بودجه پیوند بالا کاهش می‌یابد.
شکل و توپوگرافی زمین محل استقرار چگونه است؟	کمی شیب‌دار	بودجه پیوند	+1	شیب جزئی ممکن است مسیر دید را محدود کند؛ بودجه پیوند اهمیت بیشتری پیدا می‌کند.
شکل و توپوگرافی زمین محل استقرار چگونه است؟	کوهستانی و ناهموار	بودجه پیوند	+1	زمین ناهموار تلفات و چندمسیره‌سازی را افزایش می‌دهد؛ بودجه پیوند برجسته می‌شود.
چند مانع فیزیکی در محدوده استقرار وجود دارد؟	کم (منطقه باز)	بودجه پیوند	−1	منطقه باز موانع کمی دارد؛ نیاز به بودجه پیوند بالا کمتر است.
چند مانع فیزیکی در محدوده استقرار وجود دارد؟	متوسط	بودجه پیوند	+1	موانع متوسط احتمال تضعیف سیگنال را افزایش می‌دهد.
چند مانع فیزیکی در محدوده استقرار وجود دارد؟	زیاد (موانع متراکم)	بودجه پیوند	+1	موانع متراکم نیاز به بودجه پیوند بالاتر را برجسته می‌کند.
دسترسی به برق در محل استقرار چگونه است؟	دسترسی کامل به شبکه برق	مصرف انرژی	−1	دسترسی پایدار به برق، محدودیت انرژی را کاهش می‌دهد.
دسترسی به برق در محل استقرار چگونه است؟	دسترسی محدود به برق	مصرف انرژی	+1	دسترسی محدود به برق، اهمیت مصرف انرژی پایین را افزایش می‌دهد.
دسترسی به برق در محل استقرار چگونه است؟	بدون دسترسی به برق (باتری یا خورشیدی)	مصرف انرژی	+1	وابستگی به باتری یا خورشیدی، مصرف انرژی را به معیار کلیدی تبدیل می‌کند.
نصب دروازه یا نقطه دسترسی اینترنت در محل چقدر آسان است؟	آسان	هزینه سرمایه‌ای سخت‌افزار؛ هزینه عملیاتی سالانه اتصال؛ پشتیبانی شبکه سلولی	−1؛ −1؛ −1	نصب آسان دروازه، هزینه‌های سرمایه‌ای، عملیاتی و وابستگی به سلولی را کاهش می‌دهد.
نصب دروازه یا نقطه دسترسی اینترنت در محل چقدر آسان است؟	با محدودیت	هزینه سرمایه‌ای سخت‌افزار	+1	محدودیت در نصب، هزینه سرمایه‌ای سخت‌افزار را افزایش می‌دهد.
نصب دروازه یا نقطه دسترسی اینترنت در محل چقدر آسان است؟	بسیار دشوار	هزینه سرمایه‌ای سخت‌افزار؛ هزینه عملیاتی سالانه اتصال؛ پشتیبانی شبکه سلولی	+1؛ +1؛ +1	نصب دشوار، هزینه‌ها و نیاز به راهکارهای جایگزین را برجسته می‌کند.
پوشش شبکه سلولی در محل پروژه چگونه است؟	پوشش خوب و استفاده مجاز	پشتیبانی شبکه سلولی	−1	پوشش سلولی مناسب است؛ وابستگی تصمیم به معیار پشتیبانی سلولی کاهش می‌یابد.
پوشش شبکه سلولی در محل پروژه چگونه است؟	پوشش متوسط یا محدودیت جزئی	پشتیبانی شبکه سلولی	+1	پوشش متوسط، نیاز به ارزیابی دقیق‌تر فناوری‌های سلولی را افزایش می‌دهد.
پوشش شبکه سلولی در محل پروژه چگونه است؟	پوشش ضعیف یا عدم امکان استفاده از سلولی	پشتیبانی شبکه سلولی	−1	پوشش ضعیف، فناوری‌های غیرسلولی یا زیرساخت اختصاصی اهمیت بیشتری می‌یابند.
چند گره حسگر مستقر خواهد شد؟	کم (۱ تا ۱۰ گره)	هزینه سرمایه‌ای سخت‌افزار	−1	تعداد کم گره، هزینه سرمایه‌ای کل را کاهش می‌دهد.
چند گره حسگر مستقر خواهد شد؟	متوسط (۱۱ تا ۱۰۰ گره)	—	—	مقیاس متوسط است و تغییری در وزن معیارها ایجاد نمی‌کند.
چند گره حسگر مستقر خواهد شد؟	زیاد (بیش از ۱۰۰ گره)	هزینه سرمایه‌ای سخت‌افزار؛ هزینه عملیاتی سالانه اتصال	+1؛ +1	استقرار گسترده، هزینه سرمایه‌ای و عملیاتی سالانه را برجسته می‌کند.
میانگین فاصله بین گره‌های حسگر چقدر است؟	کمتر از ۵۰ متر	برد انتقال	−1	فاصله کوتاه بین گره‌ها، نیاز به برد انتقال بلند را کاهش می‌دهد.
میانگین فاصله بین گره‌های حسگر چقدر است؟	۵۰ تا ۵۰۰ متر	—	—	فاصله متوسط است و تغییری در وزن معیارها ایجاد نمی‌کند.
میانگین فاصله بین گره‌های حسگر چقدر است؟	بیش از ۵۰۰ متر	برد انتقال؛ بودجه پیوند	+1؛ +1	فاصله زیاد، برد انتقال و بودجه پیوند را به معیارهای حیاتی تبدیل می‌کند.
حجم داده و فراوانی گزارش‌دهی چگونه است؟	کم (پیام‌های کوچک و کم‌تکرار)	نرخ داده؛ تأخیر انتقال داده	−1؛ −1	داده کم و کم‌تکرار، اهمیت نرخ داده، تأخیر و مصرف انرژی را کاهش می‌دهد.
حجم داده و فراوانی گزارش‌دهی چگونه است؟	متوسط	—	—	بار داده متوسط است و تغییری در وزن معیارها ایجاد نمی‌کند.
حجم داده و فراوانی گزارش‌دهی چگونه است؟	زیاد (پیام‌های بزرگ و پرتکرار)	نرخ داده؛ تأخیر انتقال داده؛ مصرف انرژی	+1؛ +1؛ +1	داده پرحجم و پرتکرار، نرخ داده، تأخیر و مصرف انرژی را برجسته می‌کند.
بودجه اولیه سرمایه‌ای سخت‌افزار به ازای هر گره چقدر است؟	بودجه محدود	هزینه سرمایه‌ای سخت‌افزار	+1	بودجه محدود، حساسیت به هزینه سرمایه‌ای سخت‌افزار را افزایش می‌دهد.
بودجه اولیه سرمایه‌ای سخت‌افزار به ازای هر گره چقدر است؟	بودجه متوسط	—	—	بودجه متوسط است و تغییری در وزن معیارها ایجاد نمی‌کند.
بودجه اولیه سرمایه‌ای سخت‌افزار به ازای هر گره چقدر است؟	بودجه منعطف و مثمر	هزینه سرمایه‌ای سخت‌افزار	−1	بودجه منعطف، محدودیت هزینه سرمایه‌ای را اهمیت کمتری می‌بخشد.
تحمل هزینه عملیاتی سالانه چقدر است؟	بسیار محدود	هزینه عملیاتی سالانه اتصال	+1	تحمل کم هزینه عملیاتی، اهمیت هزینه سالانه اتصال را افزایش می‌دهد.
تحمل هزینه عملیاتی سالانه چقدر است؟	متوسط	—	—	تحمل متوسط است و تغییری در وزن معیارها ایجاد نمی‌کند.
تحمل هزینه عملیاتی سالانه چقدر است؟	منعطف	هزینه عملیاتی سالانه اتصال	−1	تحمل منعطف، محدودیت هزینه عملیاتی را اهمیت کمتری می‌بخشد.
انتظار عمر باتری مورد نیاز به ازای هر گره چقدر است؟	کمتر از ۱ سال	مصرف انرژی	−1	عمر باتری کوتاه، حساسیت به مصرف انرژی را کاهش می‌دهد.
انتظار عمر باتری مورد نیاز به ازای هر گره چقدر است؟	۱ تا ۳ سال	—	—	عمر باتری متوسط است و تغییری در وزن معیارها ایجاد نمی‌کند.
انتظار عمر باتری مورد نیاز به ازای هر گره چقدر است؟	بیش از ۳ سال	مصرف انرژی	+1	عمر باتری بلند، فناوری‌های کم‌مصرف اهمیت بیشتری می‌یابند.
سرعت تحویل داده مورد نیاز چقدر است؟	غیربلادرنگ (تأخیر چند دقیقه‌ای قابل قبول)	تأخیر انتقال داده	−1	تحویل غیربلادرنگ، اهمیت تأخیر انتقال داده را کاهش می‌دهد.
سرعت تحویل داده مورد نیاز چقدر است؟	نزدیک به بلادرنگ	تأخیر انتقال داده	+1	نیاز نزدیک به بلادرنگ، اهمیت تأخیر را افزایش می‌دهد.
سرعت تحویل داده مورد نیاز چقدر است؟	کاملاً بلادرنگ	تأخیر انتقال داده	+1	نیاز کاملاً بلادرنگ، تأخیر انتقال داده را به معیار بحرانی تبدیل می‌کند.